Date,Price,Open,High,Low,Volume,Change
10/27/2023,901.5,909.3,913.8,902.3,0.03K,-0.83
10/26/2023,909.0,913.0,920.4,900.6,,-0.37
10/25/2023,912.4,892.5,917.0,885.0,26.65K,2.3
10/24/2023,891.9,902.8,908.8,886.9,,-1.45
10/23/2023,905.0,903.7,907.8,894.5,,0.38
10/22/2023,901.6,905.25,905.25,900.6,,-0.39
10/20/2023,905.1,899.9,913.2,893.7,,0.77
10/19/2023,898.2,891.5,903.2,882.0,,0.44
10/18/2023,894.3,904.3,914.7,885.8,,-1.31
10/17/2023,906.2,899.5,909.5,894.5,,0.76
10/16/2023,899.4,888.7,900.6,879.1,,1.03
10/15/2023,890.2,887.9,891.05,886.0,,0.68
10/13/2023,884.2,872.3,891.3,867.9,23.66K,0.96
10/12/2023,875.8,895.9,902.6,871.1,24.15K,-1.93
10/11/2023,893.0,887.9,896.0,879.0,,0.31
10/10/2023,890.2,893.4,899.3,885.5,,0.16
10/09/2023,888.8,884.6,896.9,877.5,,0.79
10/08/2023,881.85,884.85,890.2,877.65,,0.04
10/06/2023,881.5,867.6,888.9,856.8,,2.2
10/05/2023,862.5,872.8,879.4,860.7,,-1.34
10/04/2023,874.2,877.1,884.8,865.8,,-0.61
10/03/2023,879.6,886.1,890.4,875.0,26.10K,-0.81
10/02/2023,886.8,916.2,921.6,884.8,,-3.5
10/01/2023,919.0,915.25,919.5,915.25,,0.34
09/29/2023,915.9,916.1,935.5,912.1,,0.09
09/28/2023,915.1,897.3,917.7,894.1,,2.1
09/27/2023,896.3,913.5,918.8,890.9,,-1.96
09/26/2023,914.2,922.4,923.0,907.9,,-1.02
09/25/2023,923.6,939.9,941.1,920.2,,-1.58
09/24/2023,938.4,941.0,941.1,937.55,,0.46
09/22/2023,934.1,924.5,947.1,924.3,,1.03
09/21/2023,924.6,933.3,933.5,916.9,,-1.88
09/20/2023,942.3,946.5,949.6,931.5,29.06K,-0.64
09/19/2023,948.4,939.2,955.0,934.0,27.70K,1.08
09/18/2023,938.3,930.7,941.2,930.7,27.48K,0.64
09/17/2023,932.35,931.35,932.55,930.9,,0.31
09/15/2023,929.5,910.5,934.1,909.2,31.24K,2.02
09/14/2023,911.1,904.0,914.0,900.2,22.77K,0.65
09/13/2023,905.2,914.3,914.7,898.1,24.90K,-0.83
09/12/2023,912.8,902.9,916.4,894.5,29.48K,1.16
09/11/2023,902.3,896.6,908.9,894.8,26.25K,0.44
09/10/2023,898.35,896.25,898.5,894.8,,0.4
09/08/2023,894.8,910.7,915.0,893.3,26.14K,-1.63
09/07/2023,909.6,915.3,918.7,903.5,23.25K,-0.62
09/06/2023,915.3,933.2,935.1,909.5,25.47K,-1.95
09/05/2023,933.5,969.1,972.5,932.0,33.15K,-2.71
09/04/2023,959.55,968.8,972.45,956.1,,-0.99
09/03/2023,969.1,968.95,970.45,966.6,,0.04
09/01/2023,968.7,977.2,995.0,967.4,22.06K,-0.58
08/31/2023,974.4,984.5,989.1,973.1,22.61K,-0.91
08/30/2023,983.3,987.3,993.3,978.5,25.73K,0.03
08/29/2023,983.0,983.4,983.5,983.4,0.00K,1.43
08/28/2023,969.1,958.0,967.4,958.0,0.00K,1.85
08/27/2023,951.5,950.5,953.2,950.25,,0.68
08/25/2023,945.1,942.0,942.0,942.0,0.00K,0.55
08/24/2023,939.9,940.0,940.0,940.0,0.00K,0.51
08/23/2023,935.1,933.2,935.0,933.2,0.00K,1.49
08/22/2023,921.4,915.1,932.4,912.8,,1.21
08/21/2023,910.4,912.3,912.3,907.6,0.00K,-0.73
08/20/2023,917.05,916.2,918.35,915.3,,0.09
08/18/2023,916.25,900.1,917.5,896.6,,1.79
08/17/2023,900.15,886.6,913.65,884.2,,0.99
08/16/2023,891.3,893.2,898.7,885.0,,-0.1
08/15/2023,892.2,904.6,906.2,882.6,,-1.61
08/14/2023,906.8,915.5,919.0,893.6,,-1.17
08/13/2023,917.55,916.3,918.85,915.55,,0.32
08/11/2023,914.6,911.5,923.1,907.3,,-0.02
08/10/2023,914.8,892.9,917.0,891.4,,2.48
08/09/2023,892.7,905.2,910.7,891.0,,-1.3
08/08/2023,904.45,924.35,925.9,899.75,,-2.42
08/07/2023,926.9,928.0,933.9,916.7,,-0.39
08/06/2023,930.5,927.45,930.8,926.5,,0.22
08/04/2023,928.5,920.2,931.5,914.1,,0.73
08/03/2023,921.8,927.8,931.6,918.5,,-0.92
08/02/2023,930.4,939.8,943.9,925.7,,-1.06
08/01/2023,940.4,960.2,962.6,928.5,,-1.9
07/31/2023,958.6,943.7,967.3,931.6,,1.53
07/30/2023,944.2,944.8,946.05,943.85,,0.05
07/28/2023,943.7,942.8,949.5,935.0,,-0.14
07/27/2023,945.0,973.8,982.5,940.2,,-2.78
07/26/2023,972.0,978.7,979.1,959.6,,-0.47
07/25/2023,976.6,968.2,986.1,966.3,,0.73
