Date,Price,Open,High,Low,Volume,Change
10/27/2023,22.887,22.935,23.255,22.775,46.57K,-0.09
10/26/2023,22.908,23.005,23.275,22.565,59.31K,-0.43
10/25/2023,23.007,23.06,23.16,22.69,55.00K,-0.47
10/24/2023,23.116,23.095,23.35,22.805,48.11K,0.09
10/23/2023,23.095,23.3,23.37,22.96,0.08K,-1.74
10/20/2023,23.504,23.19,23.88,23.015,,2.05
10/19/2023,23.031,23.015,23.23,22.785,58.63K,-0.29
10/18/2023,23.099,22.975,23.49,22.84,66.39K,0.33
10/17/2023,23.024,22.78,23.18,22.535,48.47K,1.14
10/16/2023,22.765,22.91,22.91,22.635,36.55K,-0.57
10/13/2023,22.895,21.985,22.99,21.96,76.26K,4.26
10/12/2023,21.959,22.205,22.39,21.88,51.30K,-0.79
10/11/2023,22.133,22.015,22.275,21.955,45.00K,0.82
10/10/2023,21.953,22.03,22.11,21.775,43.79K,0.13
10/09/2023,21.924,21.94,22.18,21.705,58.31K,0.93
10/06/2023,21.723,21.12,21.78,20.94,84.53K,3.35
10/05/2023,21.019,21.18,21.455,20.855,57.84K,-0.6
10/04/2023,21.146,21.375,21.57,20.85,68.61K,-1.08
10/03/2023,21.377,21.31,21.595,20.87,82.34K,-0.21
10/02/2023,21.421,22.41,22.41,21.215,98.27K,-4.58
09/29/2023,22.45,22.84,23.805,22.325,112.99K,-1.28
09/28/2023,22.741,22.8,22.955,22.61,67.24K,0.07
09/27/2023,22.724,23.1,23.12,22.64,66.47K,-2.03
09/26/2023,23.196,23.39,23.39,23.1,52.63K,-0.81
09/25/2023,23.385,23.81,23.925,23.29,55.99K,-1.93
09/22/2023,23.844,23.675,24.05,23.665,53.72K,0.66
09/21/2023,23.687,23.52,23.745,23.06,73.84K,-0.63
09/20/2023,23.836,23.48,23.88,23.325,57.73K,1.62
09/19/2023,23.456,23.53,23.705,23.365,40.41K,-0.18
09/18/2023,23.498,23.32,23.54,23.235,46.57K,0.48
09/15/2023,23.386,22.93,23.585,22.91,67.11K,1.7
09/14/2023,22.994,23.14,23.265,22.555,84.60K,-0.81
09/13/2023,23.181,23.375,23.39,23.025,49.96K,-0.94
09/12/2023,23.402,23.39,23.48,23.11,40.98K,0.08
09/11/2023,23.383,23.195,23.515,23.18,43.21K,0.9
09/08/2023,23.174,23.26,23.455,23.13,52.75K,-0.28
09/07/2023,23.24,23.5,23.5,23.13,50.65K,-1.12
09/06/2023,23.503,23.88,23.935,23.315,67.14K,-1.55
09/05/2023,23.873,24.565,24.655,23.815,91.77K,-1.78
