Date,Price,Open,High,Low,Change
10/27/2023,9.0551,9.0001,9.0828,8.9725,0.69
10/26/2023,8.9934,9.007,9.0736,8.993,-0.08
10/25/2023,9.0007,8.9674,9.0288,8.9621,0.41
10/24/2023,8.964,8.9736,9.0005,8.9619,0.0
10/23/2023,8.9636,9.0147,9.0395,8.9672,-0.42
10/20/2023,9.0017,9.0605,9.0761,8.9973,-0.56
10/19/2023,9.0528,9.0396,9.082,9.0277,0.26
10/18/2023,9.0293,9.0347,9.067,9.0044,-0.01
10/17/2023,9.0301,9.018,9.0728,9.0041,0.17
10/16/2023,9.0146,9.0518,9.0732,9.012,-0.29
10/13/2023,9.0406,9.0077,9.0552,8.9953,0.4
10/12/2023,9.0045,8.9812,9.026,8.9482,0.36
10/11/2023,8.9718,9.0281,9.0423,8.9667,-0.52
10/10/2023,9.0186,9.0749,9.1004,9.0223,-0.56
10/09/2023,9.0698,9.0201,9.1013,9.0075,0.74
10/06/2023,9.0031,9.0657,9.0893,8.9945,-0.64
10/05/2023,9.0609,9.0684,9.1066,9.0553,-0.03
10/04/2023,9.0633,9.1394,9.1515,9.0633,-0.76
10/03/2023,9.1323,9.0562,9.2484,9.0409,0.95
10/02/2023,9.0468,9.0474,9.0768,9.0171,-0.02
09/29/2023,9.0487,9.0459,9.0643,8.9993,0.12
09/28/2023,9.038,9.0613,9.0933,9.0279,-0.15
09/27/2023,9.052,9.0837,9.1023,9.0393,-0.24
09/26/2023,9.0735,8.9947,9.095,8.9859,0.97
09/25/2023,8.9866,9.0012,9.0234,8.965,-0.04
09/22/2023,8.99,9.076,9.0932,8.975,-0.9
09/21/2023,9.0712,8.9884,9.1134,8.9802,0.95
09/20/2023,8.9856,8.9879,9.0106,8.9539,0.01
09/19/2023,8.9851,8.9702,8.9972,8.9369,0.21
09/18/2023,8.9661,8.9981,8.9997,8.9595,-0.21
09/15/2023,8.9846,9.018,9.0295,8.9671,-0.34
09/14/2023,9.0149,9.0055,9.0393,8.9832,0.21
09/13/2023,8.9957,9.0222,9.0365,8.9832,-0.22
09/12/2023,9.0159,9.0482,9.064,9.009,-0.28
09/11/2023,9.0415,9.0903,9.1255,9.0423,0.12
09/08/2023,9.031,9.0619,9.1022,9.0286,-0.24
09/07/2023,9.0526,9.0379,9.0917,9.0154,0.24
09/06/2023,9.0308,9.0023,9.0571,8.9999,0.38
09/05/2023,8.9965,9.0021,9.0915,8.988,0.03
09/04/2023,8.9942,9.0182,9.0492,8.9905,-0.16
09/01/2023,9.0083,9.1068,9.1175,9.0094,-1.05
08/31/2023,9.1037,9.0513,9.1211,9.0365,0.61
08/30/2023,9.0483,9.0386,9.0764,9.0277,0.15
08/29/2023,9.0346,9.0359,9.0612,9.0056,0.02
08/28/2023,9.0332,9.0458,9.0636,9.0059,-0.05
08/25/2023,9.038,9.1088,9.1187,9.0336,-0.69
08/24/2023,9.1008,9.1679,9.1937,9.0616,-0.61
08/23/2023,9.1566,9.1905,9.2402,9.155,-0.29
08/22/2023,9.1831,9.1709,9.1961,9.1422,0.26
08/21/2023,9.1597,9.2212,9.25,9.1573,-0.54
08/18/2023,9.2096,9.1852,9.2552,9.1524,0.3
08/17/2023,9.1825,9.1725,9.2041,9.1478,0.19
08/16/2023,9.1651,9.1831,9.2147,9.1638,-0.15
08/15/2023,9.1793,9.1916,9.2162,9.1616,-0.12
08/14/2023,9.1901,9.1776,9.2132,9.161,0.16
08/11/2023,9.1751,9.1018,9.2093,9.0868,0.86
08/10/2023,9.0971,9.1393,9.174,9.0713,-0.42
08/09/2023,9.1357,9.1855,9.2252,9.1357,-0.5
08/08/2023,9.1815,9.1793,9.2479,9.1351,0.1
08/07/2023,9.1721,9.2001,9.2341,9.1504,-0.28
08/04/2023,9.1979,9.1195,9.217,9.0894,0.95
08/03/2023,9.1114,9.0666,9.1551,9.0217,0.54
08/02/2023,9.0625,8.9957,9.1195,8.9925,0.78
08/01/2023,8.9925,8.9833,9.0366,8.9566,0.15
07/31/2023,8.9794,9.0303,9.0722,8.9423,-0.4
07/28/2023,9.0157,9.2085,9.2587,9.0185,-2.05
07/27/2023,9.2047,9.0669,9.2576,9.0323,1.58
07/26/2023,9.0616,9.0599,9.1039,9.0358,0.04
07/25/2023,9.058,9.055,9.0885,9.0062,0.08
07/24/2023,9.051,9.081,9.1031,9.0302,-0.2
07/21/2023,9.0692,9.12,9.1701,9.0386,-0.47
07/20/2023,9.1122,9.0772,9.1418,9.0499,0.48
07/19/2023,9.069,9.1138,9.1209,9.0393,-0.46
07/18/2023,9.1108,9.1092,9.1683,9.0618,0.07
07/17/2023,9.104,9.1479,9.1794,9.0948,-0.4
07/14/2023,9.1403,9.1793,9.2399,9.1006,-0.38
07/13/2023,9.1752,9.2039,9.2599,9.1303,-0.28
07/12/2023,9.2014,9.203,9.2915,9.1751,0.03
07/11/2023,9.1985,9.1986,9.2273,9.1644,0.04
07/10/2023,9.1947,9.1308,9.2224,9.1154,0.67
07/07/2023,9.1337,9.0887,9.1551,9.0684,0.53
07/06/2023,9.0854,9.0146,9.1237,9.0049,0.82
07/05/2023,9.0114,8.9634,9.034,8.9576,0.57
07/04/2023,8.9599,9.0175,9.049,8.9536,-0.59
07/03/2023,9.0131,9.1179,9.1263,9.0126,-1.07
06/30/2023,9.1106,9.1375,9.1489,9.0899,-0.24
06/29/2023,9.1325,9.0626,9.1414,9.0504,0.82
06/28/2023,9.0581,9.0195,9.1046,9.0048,0.45
06/27/2023,9.0171,9.0961,9.1229,8.9992,-0.82
06/26/2023,9.092,9.1165,9.1487,9.0555,-0.14
06/23/2023,9.1045,9.0737,9.1671,9.0555,0.37
06/22/2023,9.0706,9.083,9.1552,9.0675,-0.1
06/21/2023,9.0798,9.1106,9.142,9.0777,-0.29
06/20/2023,9.106,9.0377,9.1271,9.002,0.84
06/19/2023,9.03,9.0065,9.0673,8.9938,0.37
06/16/2023,8.9965,9.0555,9.1025,8.9955,-0.59
06/15/2023,9.0501,9.0966,9.1285,9.0368,-0.48
06/14/2023,9.0936,9.0434,9.1523,9.026,0.59
