,Silver_Price,Silver_Open,Silver_High,Silver_Low,Silver_Volume,Silver_Change,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Volume,Gold_Change,USD_Price,USD_Open,USD_High,USD_Low,USD_Change
2013-01-01,,,,,,,,,,,,,1063.64,1063.64,1063.64,1063.64,0.0
2013-01-02,31.007,30.37,31.535,30.225,36.53K,2.58,1688.8,1676.4,1695.4,1670.9,132.83K,0.78,1063.5,1066.1,1066.4,1063.3,-0.01
2013-01-03,30.72,31.025,31.225,30.015,40.79K,-0.93,1674.6,1686.2,1690.5,1661.2,143.79K,-0.84,1063.2,1063.55,1064.85,1061.15,-0.03
2013-01-04,29.946,30.1,30.3,29.24,64.25K,-2.52,1648.9,1663.8,1664.5,1626.0,252.73K,-1.53,1062.39,1063.2,1065.25,1062.25,-0.08
2013-01-05,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,,,,,,,,,,,
2013-01-07,30.082,30.235,30.475,29.86,35.27K,0.45,1646.3,1656.3,1663.0,1642.6,140.82K,-0.16,1063.21,1062.39,1065.05,1060.45,0.08
2013-01-08,30.465,30.145,30.59,30.085,42.57K,1.27,1662.2,1647.6,1662.7,1646.8,146.84K,0.97,1064.15,1063.16,1064.35,1062.3,0.09
2013-01-09,30.249,30.395,30.575,30.065,34.15K,-0.71,1655.5,1659.9,1666.0,1651.3,131.71K,-0.4,1060.65,1064.3,1064.3,1060.2,-0.33
2013-01-10,30.918,30.385,30.95,30.255,41.34K,2.21,1678.0,1658.0,1678.8,1653.8,159.32K,1.36,1058.57,1060.65,1063.25,1058.42,-0.2
2013-01-11,30.408,30.87,30.94,30.15,44.26K,-1.65,1660.6,1674.1,1676.9,1653.1,176.08K,-1.04,1056.49,1058.67,1058.67,1054.75,-0.2
2013-01-12,,,,,,,,,,,,,,,,,
2013-01-13,,,,,,,,,,,,,,,,,
2013-01-14,31.11,30.42,31.17,30.38,41.87K,2.31,1669.4,1659.5,1674.8,1659.5,126.86K,0.53,1056.5,1056.54,1056.94,1055.9,0.0
2013-01-15,31.529,31.065,31.615,30.965,42.64K,1.35,1683.9,1667.8,1684.9,1666.2,149.77K,0.87,1057.57,1056.45,1058.07,1054.75,0.1
2013-01-16,31.542,31.44,31.57,31.09,31.58K,0.04,1683.2,1679.7,1684.7,1673.0,137.53K,-0.04,1058.8,1057.57,1060.5,1056.25,0.12
2013-01-17,31.81,31.49,31.93,31.05,51.11K,0.85,1690.8,1680.5,1697.8,1666.4,202.94K,0.45,1057.99,1058.53,1059.97,1056.58,-0.08
2013-01-18,31.932,31.745,32.14,31.67,36.77K,0.38,1687.0,1687.4,1695.1,1683.3,115.54K,-0.22,1058.35,1058.17,1058.75,1055.25,0.03
2013-01-19,,,,,,,,,,,,,,,,,
2013-01-20,,,,,,,,,,,,,,,,,
2013-01-21,32.177,31.925,32.365,31.815,44.67K,0.77,1693.2,1686.5,1695.9,1684.8,165.13K,0.37,1064.35,1058.5,1064.55,1057.5,0.57
2013-01-22,32.177,31.925,32.365,31.815,44.67K,0.0,1694.2,1688.5,1696.0,1688.0,0.61K,0.06,1063.66,1064.7,1068.65,1061.75,-0.06
2013-01-23,32.439,32.18,32.485,32.1,35.34K,0.81,1686.7,1691.7,1694.8,1683.1,141.43K,-0.44,1067.19,1062.98,1067.57,1062.97,0.33
2013-01-24,31.722,32.24,32.245,31.605,48.66K,-2.21,1669.9,1683.8,1685.8,1664.2,179.96K,-1.0,1069.15,1067.87,1070.85,1066.55,0.18
2013-01-25,31.206,31.64,31.815,31.125,42.38K,-1.63,1656.6,1667.0,1671.6,1655.0,162.11K,-0.8,1075.58,1068.55,1075.58,1068.55,0.6
2013-01-26,,,,,,,,,,,,,,,,,
2013-01-27,,,,,,,,,,,,,,,,,
2013-01-28,30.78,31.16,31.32,30.745,37.83K,-1.37,1652.9,1657.9,1661.6,1651.0,184.38K,-0.22,1091.92,1076.03,1094.4,1076.03,1.52
2013-01-29,31.184,30.85,31.47,30.85,32.35K,1.31,1660.8,1653.9,1665.0,1653.5,145.86K,0.48,1084.12,1091.62,1093.6,1082.3,-0.71
2013-01-30,32.177,31.385,32.3,31.25,56.69K,3.18,1681.6,1664.1,1685.0,1663.5,183.22K,1.25,1086.3,1084.17,1087.82,1079.05,0.2
2013-01-31,31.351,32.005,32.13,31.12,56.11K,-2.57,1662.0,1677.0,1681.7,1658.4,159.62K,-1.17,1088.26,1086.8,1091.85,1086.8,0.18
2013-02-01,31.958,31.42,32.16,31.3,53.46K,1.94,1670.6,1665.2,1683.0,1660.6,177.05K,0.52,1095.19,1087.71,1098.55,1086.3,0.64
2013-02-02,,,,,,,,,,,,,,,,,
2013-02-03,,,,,,,,,,,,,,,,,
2013-02-04,31.716,31.875,31.925,31.385,33.89K,-0.76,1676.4,1669.1,1678.6,1661.8,112.53K,0.35,1089.8,1097.45,1097.45,1083.65,-0.49
2013-02-05,31.875,31.775,32.115,31.62,42.50K,0.5,1673.5,1675.5,1687.0,1667.2,154.15K,-0.17,1086.87,1090.05,1092.1,1084.0,-0.27
2013-02-06,31.877,31.795,31.9,31.6,28.25K,0.01,1678.8,1673.4,1680.5,1668.8,97.16K,0.32,1089.5,1086.67,1091.9,1083.9,0.24
2013-02-07,31.403,31.845,31.935,31.295,56.56K,-1.49,1671.3,1678.0,1683.9,1663.4,183.51K,-0.45,1090.4,1089.25,1091.25,1087.15,0.08
2013-02-08,31.441,31.46,31.695,31.33,36.37K,0.12,1666.9,1671.8,1674.3,1665.8,94.74K,-0.26,1096.0,1090.65,1097.4,1090.2,0.51
2013-02-09,,,,,,,,,,,,,,,,,
2013-02-10,,,,,,,,,,,,,,,,,
2013-02-11,30.91,31.45,31.535,30.82,35.76K,-1.69,1649.1,1667.9,1670.3,1644.1,161.67K,-1.07,1096.0,1096.0,1096.0,1096.0,0.0
2013-02-12,31.019,30.92,31.16,30.58,41.47K,0.35,1649.6,1648.6,1653.8,1639.5,137.08K,0.03,1093.38,1095.75,1098.15,1089.65,-0.24
2013-02-13,30.869,31.14,31.225,30.73,35.08K,-0.48,1645.1,1652.5,1655.0,1640.5,130.85K,-0.27,1086.67,1084.75,1089.65,1084.75,-0.61
2013-02-14,30.353,30.76,31.06,30.21,48.45K,-1.67,1635.5,1642.5,1650.0,1632.8,174.43K,-0.58,1085.54,1086.22,1087.0,1083.3,-0.1
2013-02-15,29.849,30.35,30.46,29.66,69.90K,-1.66,1609.5,1634.2,1636.0,1596.7,258.38K,-1.59,1079.0,1086.14,1086.14,1077.4,-0.6
2013-02-16,,,,,,,,,,,,,,,,,
2013-02-17,,,,,,,,,,,,,,,,,
2013-02-18,29.422,29.81,30.15,29.175,75.53K,-1.43,1604.2,1610.0,1618.8,1600.2,220.23K,-0.33,1083.71,1078.4,1085.6,1078.4,0.44
