,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Volume,Gold_Change,USD_Price,USD_Open,USD_High,USD_Low,USD_Change
2023-01-01,,,,,,,,,,,
2023-01-02,1835.8,1834.55,1837.9,1831.4,,0.53,1269.03,1261.95,1274.86,1260.65,0.64
2023-01-03,1846.1,1831.8,1856.6,1831.3,212.27K,0.56,1279.1,1269.93,1281.23,1264.35,0.79
2023-01-04,1859.0,1845.2,1871.3,1842.0,198.35K,0.7,1270.98,1279.59,1280.77,1269.04,-0.63
2023-01-05,1840.6,1861.2,1864.3,1829.9,188.60K,-0.99,1274.26,1271.39,1279.14,1267.05,0.26
2023-01-06,1869.7,1835.9,1875.2,1835.2,215.37K,1.58,1253.5,1274.58,1275.33,1251.84,-1.63
2023-01-07,,,,,,,,,,,
2023-01-08,,,,,,,,,,,
2023-01-09,1877.8,1872.8,1886.4,1869.3,204.55K,0.43,1239.28,1254.5,1254.7,1234.54,-1.13
2023-01-10,1876.5,1875.7,1885.2,1872.0,170.51K,-0.07,1240.8,1239.69,1248.82,1235.71,0.12
2023-01-11,1878.9,1881.3,1890.9,1870.9,222.25K,0.13,1242.5,1241.22,1250.48,1238.1,0.14
2023-01-12,1898.8,1879.7,1906.5,1872.4,265.17K,1.06,1239.12,1242.41,1247.73,1234.95,-0.27
2023-01-13,1921.7,1898.8,1925.3,1895.1,247.88K,1.21,1237.26,1239.51,1246.42,1233.79,-0.15
2023-01-14,,,,,,,,,,,
2023-01-15,1919.9,1923.25,1923.6,1919.85,,-0.09,,,,,
2023-01-16,1909.9,1923.8,1931.8,1906.2,268.37K,-0.52,1241.61,1237.1,1242.73,1231.51,0.35
2023-01-17,1907.2,1920.1,1920.1,1905.2,0.71K,-0.14,1237.34,1241.98,1242.59,1235.77,-0.34
2023-01-18,1907.0,1911.1,1929.8,1898.6,218.97K,-0.01,1237.69,1237.36,1247.12,1225.56,0.03
2023-01-19,1923.9,1907.0,1936.9,1902.0,214.25K,0.89,1232.21,1238.11,1242.45,1231.53,-0.44
2023-01-20,1928.2,1933.7,1939.0,1922.0,165.27K,0.22,1228.86,1232.63,1238.44,1229.53,-0.27
2023-01-21,,,,,,,,,,,
2023-01-22,,,,,,,,,,,
2023-01-23,1936.2,1936.1,1943.7,1920.1,0.97K,0.41,1229.97,1230.35,1233.78,1224.96,0.09
2023-01-24,1943.1,1940.5,1950.6,1926.3,1.08K,0.36,1232.57,1230.38,1237.99,1228.9,0.21
2023-01-25,1950.3,1946.0,1956.0,1928.7,1.27K,0.37,1232.57,1232.98,1237.88,1230.28,0.0
2023-01-26,1937.6,1955.3,1957.0,1926.5,2.10K,-0.65,1231.84,1232.97,1235.69,1229.21,-0.06
2023-01-27,1936.6,1936.8,1943.0,1923.7,2.33K,-0.05,1229.62,1232.26,1236.55,1227.22,-0.18
2023-01-28,,,,,,,,,,,
2023-01-29,,,,,,,,,,,
2023-01-30,1922.9,1928.3,1933.6,1920.3,27.22K,-0.71,1231.46,1230.2,1232.61,1226.31,0.15
2023-01-31,1929.5,1923.0,1930.4,1900.6,1.91K,0.34,1233.3,1231.88,1239.12,1227.83,0.15
2023-02-01,1927.8,1927.2,1955.0,1922.0,2.29K,-0.09,1222.28,1233.72,1234.22,1220.35,-0.89
2023-02-02,1916.3,1952.3,1959.1,1911.3,0.75K,-0.6,1224.78,1222.26,1226.37,1215.83,0.2
2023-02-03,1862.9,1912.4,1917.0,1861.5,0.99K,-2.79,1247.46,1225.19,1250.36,1224.08,1.85
2023-02-04,,,,,,,,,,,
2023-02-05,,,,,,,,,,,
2023-02-06,1866.2,1865.6,1880.0,1863.4,0.42K,0.18,1260.25,1247.35,1263.96,1243.92,1.03
2023-02-07,1871.7,1870.0,1875.7,1868.0,0.30K,0.29,1255.68,1261.47,1264.61,1252.26,-0.36
2023-02-08,1877.4,1872.1,1880.4,1872.1,0.23K,0.3,1260.46,1255.81,1262.96,1251.4,0.38
2023-02-09,1866.2,1875.3,1884.6,1859.8,0.22K,-0.6,1264.44,1260.87,1266.51,1254.76,0.32
2023-02-10,1862.8,1861.6,1863.5,1852.4,0.03K,-0.18,1267.45,1264.87,1269.71,1259.44,0.24
2023-02-11,,,,,,,,,,,
2023-02-12,,,,,,,,,,,
2023-02-13,1851.9,1859.0,1861.0,1850.0,0.57K,-0.59,1272.89,1266.25,1280.43,1266.25,0.43
2023-02-14,1854.0,1854.1,1862.0,1846.2,0.66K,0.11,1272.53,1273.31,1275.33,1261.58,-0.03
2023-02-15,1834.2,1842.0,1842.0,1828.2,0.37K,-1.07,1283.54,1272.59,1289.01,1272.04,0.87
2023-02-16,1842.0,1838.6,1843.7,1827.2,0.22K,0.43,1289.51,1283.97,1295.56,1278.79,0.47
2023-02-17,1840.4,1827.4,1842.2,1818.4,0.04K,-0.09,1295.87,1289.94,1303.93,1289.52,0.49
2023-02-18,,,,,,,,,,,
2023-02-19,1847.75,1851.2,1852.15,1847.55,,0.4,,,,,
2023-02-20,1850.5,1847.55,1856.35,1846.3,,0.15,1296.04,1297.55,1299.74,1292.94,0.01
2023-02-21,1842.5,1850.5,1856.4,1839.0,210.17K,-0.43,1305.75,1296.42,1310.2,1293.26,0.75
2023-02-22,1833.3,1837.0,1846.4,1825.1,0.57K,-0.5,1302.65,1306.16,1307.57,1298.52,-0.24
2023-02-23,1818.8,1823.6,1832.7,1818.3,0.65K,-0.79,1297.89,1303.05,1306.55,1293.32,-0.37
2023-02-24,1809.2,1825.2,1827.1,1808.8,0.40K,-0.53,1314.45,1298.03,1318.57,1296.29,1.28
2023-02-25,,,,,,,,,,,
2023-02-26,,,,,,,,,,,
2023-02-27,1824.9,1818.0,1827.3,1812.0,130.43K,0.87,1317.4,1314.55,1325.79,1311.97,0.22
2023-02-28,1836.7,1823.9,1838.6,1810.8,184.51K,0.65,1323.02,1318.4,1327.21,1314.42,0.43
2023-03-01,1845.4,1834.0,1852.5,1829.6,182.58K,0.47,1305.41,1323.44,1324.52,1298.59,-1.33
2023-03-02,1840.5,1843.8,1845.3,1835.9,139.76K,-0.27,1310.97,1305.83,1317.68,1303.84,0.43
2023-03-03,1854.6,1842.1,1864.4,1842.0,158.96K,0.77,1295.73,1311.39,1312.18,1294.13,-1.16
2023-03-04,,,,,,,,,,,
2023-03-05,,,,,,,,,,,
2023-03-06,1854.6,1861.0,1864.3,1850.6,136.22K,0.0,1296.86,1294.1,1301.71,1293.28,0.09
2023-03-07,1820.0,1852.6,1856.9,1817.1,248.23K,-1.87,1318.29,1297.85,1320.19,1296.6,1.65
2023-03-08,1818.6,1818.0,1828.7,1813.4,208.29K,-0.08,1316.38,1318.31,1324.56,1312.56,-0.14
