date,close,won_yen,won_yuan,,
2015.12.9,1179.3,960.89,181.62,,
2015.12.10,1181.3,970.9,181.22,,
2015.12.11,1179.5,966.33,181.09,,
2015.12.14,1184.8,977.72,180.83,,
2015.12.15,1183.4,979.55,180.76,,
2015.12.16,1176.2,965.52,180.5,,
2015.12.17,1180.1,963.74,180.21,,
2015.12.18,1183,970.63,180.34,,
2015.12.21,1177.6,970.1,179.78,,
2015.12.22,1173.3,967.91,179.27,,
2015.12.23,1173.1,969.34,179.49,,
2015.12.24,1167.8,968.49,178.57,,
2015.12.28,1165.4,967.78,178.12,,
2015.12.29,1169.6,972.16,178.08,,
2015.12.30,1172.5,974.08,177.85,,
2016.1.4,1187.7,994.81,179.45,,
2016.1.5,1188,994.89,179.02,,
2016.1.6,1197.9,1008.84,179.13,,
2016.1.7,1200.6,1017.37,179.4,,
2016.1.8,1198.1,1012.68,179.24,,
2016.1.11,1209.8,1031.37,181.46,,
2016.1.12,1210.3,1029.52,183.89,,
2016.1.13,1204,1017.84,183.13,,
2016.1.14,1213.4,1031.54,183.77,,
2016.1.15,1213.4,1029.53,183.29,,
2016.1.18,1210.9,1033.28,183.93,,
2016.1.19,1205.9,1024.38,182.75,,
2016.1.20,1214,1038.58,184.04,,
2016.1.21,1213.7,1039.04,183.54,,
2016.1.22,1200.1,1016.26,181.76,,
2016.1.25,1194.2,1005.81,180.66,,
2016.1.26,1204.2,1019.99,182.01,,
2016.1.27,1202,1015.97,181.96,,
2016.1.28,1208.5,1018.8,182.7,,
2016.1.29,1199.1,994.69,181.24,,
2016.2.1,1200.5,989.12,181.7,,
2016.2.2,1207.4,1002.57,182.5,,
2016.2.3,1219.3,1019.48,183.6,,
2016.2.4,1202.1,1019.51,181.73,,
2016.2.5,1197.4,1024.64,182.09,,
2016.2.11,1202.5,1066.71,184.03,,
2016.2.12,1211.7,1077.64,185.18,,
2016.2.15,1208.1,1060.57,186.05,,
2016.2.16,1216.6,1061.79,186.7,,
2016.2.17,1227.1,1077.54,187.95,,
2016.2.18,1227.4,1077.71,188.16,,
2016.2.19,1234.4,1091.81,189.19,,
2016.2.22,1234.4,1093.26,189.23,,
2016.2.23,1231.1,1095.09,188.43,,
2016.2.24,1234.4,1104.31,188.88,,
2016.2.25,1238.8,1101.45,189.54,,
2016.2.26,1238.2,1099.64,189.34,,
2016.2.29,1236.7,1094.91,188.9,,
2016.3.2,1227.5,1077.79,187.35,,
2016.3.3,1214.6,1064.32,185.69,,
2016.3.4,1203.4,1057,185.01,,
2016.3.7,1201.4,1056.83,184.61,,
2016.3.8,1206.7,1066.46,185.4,,
2016.3.9,1216.2,1080.39,186.62,,
2016.3.10,1203.5,1058.11,184.6,,
2016.3.11,1193.1,1052.02,183.96,,
2016.3.14,1186.1,1042.18,182.8,,
2016.3.15,1187.7,1047.45,182.73,,
2016.3.16,1193.3,1052.29,183.02,,
2016.3.17,1173.3,1045.91,180.66,,
2016.3.18,1162.5,1042.04,179.86,,
2016.3.21,1163.5,1043.78,179.53,,
2016.3.22,1153.6,1029.36,178.01,,
2016.3.23,1161.2,1033.19,178.77,,
2016.3.24,1166.3,1033.95,179.03,,
2016.3.28,1166.2,1027.22,178.7,,
2016.3.29,1163.8,1024.74,178.71,,
2016.3.30,1150.8,1024.85,177.42,,
2016.3.31,1143.5,1018.53,176.63,,
2016.4.1,1154.2,1028.88,178.36,,
2016.4.4,1146.1,1028.91,177.14,,
2016.4.5,1155.1,1042.79,178.32,,
2016.4.6,1156.1,1048.14,178.26,,
2016.4.7,1151.4,1057.49,177.65,,
2016.4.8,1153.8,1061.45,177.8,,
2016.4.11,1146.5,1062.66,177.03,,
2016.4.12,1145.8,1057.79,176.92,,
2016.4.14,1156.7,1057.12,177.95,,
2016.4.15,1146.2,1045.8,176.63,,
2016.4.18,1150.2,1065.2,177.33,,
2016.4.19,1136.3,1042.19,175.34,,
2016.4.20,1135.2,1042.04,175.39,,
2016.4.21,1132.9,1033.01,174.84,,
2016.4.22,1143.1,1036.17,176.1,,
2016.4.25,1147.8,1032.66,176.29,,
2016.4.26,1151,1037.87,176.94,,
2016.4.27,1148.3,1032.55,176.62,,
2016.4.28,1138.2,1044.6,175.16,,
2016.4.29,1139.3,1061.79,175.8,,
2016.5.2,1137.8,1067.96,175.43,,
2016.5.3,1140.2,1076.88,175.93,,
2016.5.4,1154.3,1077.98,177.52,,
2016.5.9,1165.8,1083.86,178.88,,
2016.5.10,1172.6,1077.96,179.28,,
2016.5.11,1167.6,1074.15,178.71,,
2016.5.12,1162.6,1067.49,177.89,,
2016.5.13,1171.4,1076.95,179.02,,
2016.5.16,1179.7,1084.58,180.1,,
2016.5.17,1173.7,1074.92,179.45,,
2016.5.18,1182.6,1082.37,180.58,,
2016.5.19,1191.7,1080.03,181.52,,
2016.5.20,1190.2,1080.62,181.48,,
2016.5.23,1182.9,1077.32,180.3,,
2016.5.24,1192.7,1091.62,181.72,,
2016.5.25,1182.5,1075.49,180.2,,
2016.5.26,1180.4,1076.81,180.06,,
2016.5.27,1179.3,1074.53,179.67,,
2016.5.30,1191.8,1070.9,180.96,,
2016.5.31,1191.7,1071.09,180.85,,
2016.6.1,1193,1084.94,180.91,,
2016.6.2,1186.6,1087.53,180.16,,
2016.6.3,1183.6,1089.27,179.61,,
2016.6.7,1162.7,1080.02,176.8,,
2016.6.8,1156.6,1079.93,175.96,,
2016.6.9,1156,1083.56,175.97,,
2016.6.10,1165.5,1088.69,176.88,,
2016.6.13,1173.4,1109.02,177.85,,
2016.6.14,1173.2,1107.47,177.8,,
2016.6.15,1173.3,1105.48,177.62,,
2016.6.16,1171.4,1124.62,177.83,,
2016.6.17,1172.7,1123.76,177.84,,
2016.6.20,1160.8,1108.74,176.2,,
2016.6.21,1156.6,1108.33,175.72,,
2016.6.22,1154.4,1104.32,175.11,,
2016.6.23,1150.2,1098.83,174.69,,
2016.6.24,1179.9,1152.58,177.49,,
2016.6.27,1182.3,1162.14,177.55,,
2016.6.28,1171.3,1149.18,175.3,,
2016.6.29,1160.2,1135.5,174.2,,
2016.6.30,1151.8,1121.9,172.88,,
