date,close,원/g_대비,원/g_등락률,원/g_시가,원/g_고가,원/g_저가,$/온스_종가,$/온스_대비,$/온스_등락률,$/온스_시가,$/온스_고가,$/온스_저가
2015.12.9,40820,160,0.39,40800,40890,40710,1076.74,3.62,0.34,1076.65,1078.67,1074.12
2015.12.10,40740,-80,-0.2,40660,40870,40470,1072.7,-4.04,-0.38,1072.35,1076.55,1072.09
2015.12.11,40560,-180,-0.44,40710,40730,40410,1069.54,-3.17,-0.3,1071.95,1072.98,1065.95
2015.12.14,40950,390,0.96,40680,41090,40660,1075.15,5.62,0.52,1072.72,1077.62,1071.25
2015.12.15,40470,-480,-1.17,40490,40540,40370,1063.71,-11.44,-1.06,1063.05,1066.35,1061.39
2015.12.16,40280,-190,-0.47,40390,40430,40120,1065.09,1.38,0.13,1061.56,1066.48,1061.11
2015.12.17,40480,200,0.5,40450,40600,40370,1067.02,1.93,0.18,1069.79,1073.05,1064.91
2015.12.18,40220,-260,-0.64,39930,40230,39930,1057.34,-9.68,-0.91,1052.4,1057.46,1051.35
2015.12.21,40470,250,0.62,40530,40570,40280,1068.92,11.59,1.1,1065.74,1071.05,1063.97
2015.12.22,40690,220,0.54,40810,40870,40660,1078.55,9.62,0.9,1078.02,1079.95,1076.07
2015.12.23,40550,-140,-0.34,40470,40570,40380,1075.03,-3.52,-0.33,1072.9,1075.35,1072.75
2015.12.24,40340,-210,-0.52,40380,40520,40290,1074.35,-0.68,-0.06,1070.54,1074.59,1070.35
2015.12.28,40240,-100,-0.25,40430,40440,40110,1073.89,-0.46,-0.04,1076.7,1077.13,1071.75
2015.12.29,40380,140,0.35,40050,40390,40030,1073.91,0.02,0,1068.8,1074.15,1068.13
2015.12.30,40370,-10,-0.02,40210,40450,40160,1070.91,-3,-0.28,1069.28,1071.29,1068.42
2016.1.4,40790,420,1.04,40080,40830,40030,1068.25,-2.66,-0.25,1063.3,1069.35,1061.9
2016.1.5,41170,380,0.93,41000,41260,40960,1077.86,9.61,0.9,1073.64,1079.01,1072.85
2016.1.6,41570,400,0.97,41180,41610,41060,1079.27,1.41,0.13,1078.12,1080.35,1075.1
2016.1.7,42450,880,2.12,42130,42620,41990,1099.75,20.48,1.9,1093.88,1102.89,1091.55
2016.1.8,42510,60,0.14,42810,42830,42210,1103.7,3.95,0.36,1109.04,1112.95,1101.55
2016.1.11,43030,520,1.22,42630,43170,42610,1106.4,2.7,0.24,1106.7,1108.62,1102.74
2016.1.12,42650,-380,-0.88,42600,42790,42320,1096.04,-10.36,-0.94,1095.25,1098.16,1093.25
2016.1.13,41990,-660,-1.55,42330,42330,41900,1084.75,-11.29,-1.03,1087.72,1087.85,1083.15
2016.1.14,42580,590,1.41,42340,42780,42330,1091.35,6.6,0.61,1093.71,1095.39,1091.2
2016.1.15,42200,-380,-0.89,42060,42220,41790,1081.83,-9.53,-0.87,1078.19,1082.28,1076.4
2016.1.18,42450,250,0.59,42530,42700,42420,1090.36,8.53,0.79,1090.3,1093.35,1089.55
2016.1.19,42210,-240,-0.57,42410,42530,42200,1088.74,-1.61,-0.15,1089.24,1090.75,1085.51
2016.1.20,42600,390,0.92,42190,42710,42170,1091.44,2.71,0.25,1088.25,1093.85,1087.8
2016.1.21,43020,420,0.99,42980,43070,42600,1102.45,11.01,1.01,1101.3,1103.65,1097.4
2016.1.22,42380,-640,-1.49,42980,42980,41680,1098.45,-4,-0.36,1101.33,1101.58,1098.1
2016.1.25,42250,-130,-0.31,42360,42370,42180,1100.33,1.88,0.17,1097.78,1102.29,1097.3
2016.1.26,43100,850,2.01,42530,43100,42510,1113.33,13.01,1.18,1107.65,1113.8,1107.11
2016.1.27,43300,200,0.46,43350,43440,43070,1120.4,7.07,0.64,1119.57,1122.35,1118.2
2016.1.28,43450,150,0.35,43500,43810,43420,1118.26,-2.14,-0.19,1125.57,1125.7,1117.41
2016.1.29,42960,-490,-1.13,43330,43480,42930,1114.25,-4.01,-0.36,1115.14,1118.35,1108.7
2016.2.1,43300,340,0.79,43060,43560,43050,1121.8,7.55,0.68,1116.92,1122.55,1116.66
2016.2.2,43700,400,0.92,43560,43720,43390,1125.65,3.85,0.34,1128.51,1130.57,1124.93
2016.2.3,44250,550,1.26,43800,44270,43770,1128.8,3.15,0.28,1128.2,1129.35,1126.05
2016.2.4,44160,-90,-0.2,44770,44790,44000,1142.67,13.87,1.23,1142.15,1143.85,1139.74
2016.2.5,44490,330,0.75,44660,44680,44140,1155.63,12.96,1.13,1155.45,1157.07,1153.21
2016.2.11,46690,2200,4.94,46140,46820,45870,1207.55,51.91,4.49,1198.54,1214.35,1197.51
2016.2.12,48360,1670,3.58,48110,48360,47740,1241.25,33.7,2.79,1244.44,1244.55,1232.61
2016.2.15,47370,-990,-2.05,47990,48070,47190,1219.5,-21.75,-1.75,1231.82,1234.92,1214.71
2016.2.16,46810,-560,-1.18,46910,47250,46590,1196.72,-22.77,-1.87,1207.63,1208.99,1191.02
2016.2.17,47610,800,1.71,47100,47680,46980,1206.9,10.18,0.85,1204.16,1209.85,1195.84
2016.2.18,47710,100,0.21,47610,47770,47440,1208.99,2.09,0.17,1206.9,1210.42,1205.3
2016.2.19,48670,960,2.01,48590,48940,48450,1226.28,17.29,1.43,1231.39,1232.8,1225.05
2016.2.22,48330,-340,-0.7,48630,48760,48210,1217.74,-8.54,-0.7,1225.42,1226.34,1214.85
2016.2.23,48120,-210,-0.43,47930,48460,47590,1215.68,-2.06,-0.17,1207.65,1223.05,1207.35
2016.2.24,48720,600,1.25,48660,48930,48630,1227.57,11.88,0.98,1229.3,1232.75,1224.66
2016.2.25,49200,480,0.99,48520,49200,48510,1235.35,7.79,0.63,1222.48,1236.85,1222.39
2016.2.26,49290,90,0.18,49180,49350,48950,1238.25,2.9,0.23,1234.68,1240.2,1233.05
2016.2.29,48840,-450,-0.91,48510,49020,48500,1228.25,-10,-0.81,1218.65,1228.65,1218.19
2016.3.2,48450,-390,-0.8,48950,49020,48390,1227.65,-0.6,-0.05,1231.21,1233.05,1224.85
2016.3.3,48410,-40,-0.08,48980,49000,48380,1239.75,12.1,0.99,1241.22,1241.98,1237.55
2016.3.4,48810,400,0.83,49260,49260,48770,1261.56,21.81,1.76,1261.52,1262.92,1255.94
2016.3.7,48800,-10,-0.02,48860,48930,48450,1263.36,1.8,0.14,1262.94,1268.75,1256.85
2016.3.8,49240,440,0.9,48810,49380,48810,1269.11,5.75,0.45,1263.64,1273.02,1263.55
2016.3.9,49110,-130,-0.26,49000,49350,48870,1255.94,-13.16,-1.04,1263.07,1265.09,1251.75
2016.3.10,48260,-850,-1.73,49010,49040,48230,1247.35,-8.6,-0.68,1253.45,1255.21,1246.55
2016.3.11,48890,630,1.31,49160,49700,48770,1274.6,27.25,2.18,1270.56,1282.92,1269.65
2016.3.14,47910,-980,-2,48060,48080,47680,1256.39,-18.2,-1.43,1252.88,1257.07,1251.9
2016.3.15,46910,-1000,-2.09,47130,47390,46810,1228.39,-28,-2.23,1235.79,1237.06,1226.04
2016.3.16,47310,400,0.85,47070,47430,47020,1233.19,4.8,0.39,1232.67,1235.15,1230.15
2016.3.17,47460,150,0.32,48300,48340,47350,1258.03,24.83,2.01,1258.85,1262.45,1254.55
2016.3.18,47240,-220,-0.46,47490,47500,46810,1263.97,5.95,0.47,1258.8,1267,1257.85
2016.3.21,46610,-630,-1.33,46870,47090,46570,1245.97,-18,-1.42,1254,1255.45,1245.15
2016.3.22,46240,-370,-0.79,46510,46660,46180,1246.65,0.68,0.05,1243.45,1248.15,1242.78
2016.3.23,46130,-110,-0.24,46300,46490,45990,1235.65,-11,-0.88,1248.42,1249.54,1231.9
2016.3.24,45710,-420,-0.91,45630,45990,45550,1219.01,-16.64,-1.35,1222.27,1223.38,1214.77
2016.3.28,45570,-140,-0.31,45660,45780,45450,1215.4,-3.61,-0.3,1214.59,1216.3,1208.4
2016.3.29,45620,50,0.11,45840,45860,45500,1219.25,3.85,0.32,1222.67,1223.1,1216.77
2016.3.30,45810,190,0.42,46400,46410,45780,1238.15,18.9,1.55,1240,1242.78,1234.8
2016.3.31,45140,-670,-1.46,45340,45410,45070,1227.69,-10.46,-0.84,1225.43,1230.15,1224.05
2016.4.1,45720,580,1.28,45280,45760,45260,1231.95,4.26,0.35,1231.72,1234.46,1229.37
2016.4.4,44860,-860,-1.88,45250,45300,44830,1217.35,-14.6,-1.19,1219.45,1222.69,1216.31
2016.4.5,45580,720,1.6,44830,45640,44770,1227.43,10.09,0.83,1216.65,1227.54,1214.95
2016.4.6,45660,80,0.18,45690,45920,45560,1228.55,1.11,0.09,1230.4,1232.35,1227.93
2016.4.7,45480,-180,-0.39,45490,45720,45350,1228.52,-0.04,0,1223.75,1231.8,1223.71
2016.4.8,45890,410,0.9,45880,46310,45720,1236.95,8.44,0.69,1239.35,1239.76,1235.08
2016.4.11,46040,150,0.33,46160,46400,46020,1249.1,12.15,0.98,1244.34,1252.65,1244.15
2016.4.12,46250,210,0.46,46380,46380,46060,1255.39,6.29,0.5,1258.25,1258.29,1253.24
2016.4.14,45920,-330,-0.71,45740,45980,45440,1234.82,-20.57,-1.64,1241.55,1242.39,1229.22
2016.4.15,45370,-550,-1.2,45680,45730,45330,1231.15,-3.67,-0.3,1228.37,1231.72,1225.45
2016.4.18,45690,320,0.71,45550,45920,45520,1235.53,4.38,0.36,1236.15,1239.68,1233.45
2016.4.19,45090,-600,-1.31,45550,45560,44930,1234.35,-1.18,-0.1,1231.65,1235.39,1227.83
2016.4.20,45590,500,1.11,45670,45750,45370,1249.11,14.76,1.2,1250.24,1258.1,1246.02
2016.4.21,45730,140,0.31,45420,45750,45350,1255.55,6.45,0.52,1244.55,1255.55,1243.5
2016.4.22,45840,110,0.24,45500,45960,45480,1247.35,-8.2,-0.65,1249.1,1252.6,1243.95
2016.4.25,45570,-270,-0.59,45270,45700,45250,1234.75,-12.6,-1.01,1231.79,1237.63,1230.25
2016.4.26,45760,190,0.42,45680,45860,45670,1236.65,1.9,0.15,1237.95,1241.05,1235.15
2016.4.27,45920,160,0.35,46000,46010,45760,1243.95,7.3,0.59,1242.97,1246.8,1242.5
2016.4.28,45910,-10,-0.02,45980,46040,45640,1254.64,10.69,0.86,1245.33,1255.17,1238.06
2016.4.29,46630,720,1.57,46340,46950,46180,1272.9,18.26,1.46,1266.36,1280.95,1265.1
2016.5.2,47320,690,1.48,47400,47640,47260,1293.55,20.64,1.62,1294.01,1296.13,1291.55
2016.5.3,47330,10,0.02,47220,47440,47070,1291.19,-2.35,-0.18,1290.89,1297.12,1289.49
2016.5.4,47530,200,0.42,47160,47700,47150,1280.83,-10.36,-0.8,1286.48,1287.83,1279.04
2016.5.9,48060,530,1.12,47760,48270,47680,1282.18,1.35,0.11,1286.95,1287.67,1279.26
2016.5.10,47710,-350,-0.73,47390,47790,47320,1265.6,-16.59,-1.29,1264.41,1266.97,1259.7
